"";"gender";"ageT1";"emo_aa_1";"emo_aa_2";"emo_aa_3";"emo_aa_4";"emo_aa_5";"neg_abf_1";"neg_abf_2";"neg_abf_3";"neg_abf_4";"neg_abf_5"
"1";0;12;7;24;24;31;17;1,16666666666667;1;1,33333333333333;1,5;2,33333333333333
"2";1;12;11;23;31;27;27;1,5;1;1;1;1
"3";0;13;13;19;18;10;27;1,5;1;1;1;1
"4";1;12;13;20;35;18;15;1,66666666666667;1,33333333333333;1;1;NA
"5";1;13;13;17;18;18;21;1;1,33333333333333;1,16666666666667;1;1,16666666666667
"6";0;13;14;25;28;31;21;1;1,16666666666667;1,33333333333333;1;1
"7";0;12;14;18;25;26;23;1,16666666666667;1;1,16666666666667;1;1
"8";1;12;14;24;19;19;28;1,83333333333333;1,33333333333333;1,66666666666667;1;1
"9";1;12;15;31;33;27;29;1,16666666666667;1;1;1;1
"10";1;12;15;22;19;20;18;1;1,16666666666667;1,33333333333333;1,16666666666667;1
"11";1;12;15;18;20;20;21;1;1,83333333333333;1,33333333333333;1,16666666666667;1,33333333333333
"12";0;12;15;21;15;30;28;1;1,33333333333333;1,66666666666667;2;1,5
"13";1;12;16;16;17;19;17;1,83333333333333;2,33333333333333;1,83333333333333;2,66666666666667;1,83333333333333
"14";1;12;16;23;25;19;21;2;1,5;1;1;1
"15";1;13;16;14;16;12;12;1;1,33333333333333;1,5;1,66666666666667;1,83333333333333
"16";0;12;16;18;17;19;17;1,83333333333333;1,16666666666667;1,83333333333333;1,33333333333333;1,33333333333333
"17";1;12;16;15;18;20;21;1,16666666666667;1,33333333333333;1;1;1
"18";0;12;16;16;24;26;27;1,66666666666667;1;1;1;1,5
"19";1;12;16;21;16;18;21;1,16666666666667;1,16666666666667;1,33333333333333;1;1
"20";0;12;17;34;32;36;36;1;1,16666666666667;1;1,5;1
"21";0;12;17;20;19;26;29;1,5;1,33333333333333;1;1;1,16666666666667
"22";1;13;18;23;25;34;30;1,16666666666667;1;1,16666666666667;1;1
"23";0;12;18;28;21;27;26;NA;1;1,16666666666667;1,16666666666667;1
"24";1;12;18;17;23;19;16;NA;1;1;1,16666666666667;1
"25";1;13;18;19;21;16;24;1,5;1,5;1;1;1,33333333333333
"26";0;11;18;17;24;24;27;1;1;1;1;1
"27";0;12;18;21;24;20;24;1;1,16666666666667;2,16666666666667;2;2,33333333333333
"28";1;12;18;21;17;21;22;2,16666666666667;1,83333333333333;1,16666666666667;1;1
"29";1;13;18;21;22;31;33;1;1;1;1;1
"30";1;13;19;20;20;24;21;1;1,16666666666667;1;1;1,5
"31";1;12;19;25;27;25;25;1,5;1;1,16666666666667;1;1
"32";0;13;19;23;25;27;21;1;1;1;1;1
"33";1;13;19;21;14;21;18;1;1,16666666666667;1,16666666666667;1;1,16666666666667
"34";1;12;19;21;16;19;21;1,33333333333333;2;1,16666666666667;1;1
"35";0;12;19;23;19;28;30;1,66666666666667;1,66666666666667;1,33333333333333;1;1
"36";0;12;19,34722846843;27;23;22;25;1,5;1,16666666666667;1,33333333333333;1,5;1,5
"37";1;12;19,9853506215454;32;30;27;32;1;1;1,16666666666667;1;1
"38";0;12;20;21;25;24;16;1;1;1;1;1
"39";0;12;20;16;12;17;18;1,66666666666667;1,33333333333333;1;1;1
"40";1;12;20;23;21;25;24;1,83333333333333;2;3,5;1,16666666666667;1,5
"41";0;12;20;21;28;28;22;1,5;1;1;1;1,16666666666667
"42";0;12;20;27;21;23;22;1;1;1,5;1,5;1,16666666666667
"43";0;13;20;31;25;25;22;1;1,16666666666667;1;1,16666666666667;1
"44";1;12;20;25;27;23;29;1;1;1,33333333333333;1,33333333333333;1,33333333333333
"45";0;12;20,9791949132557;31;29;32;28;1;1;1;1;1
"46";0;13;21;21;28;25;27;2,66666666666667;1;2;1;1,5
"47";0;13;21;27;24;19;23;1,83333333333333;1;1,83333333333333;2,16666666666667;1,33333333333333
"48";1;13;21;18;17;20;17;1,5;1,83333333333333;2;1,83333333333333;2,66666666666667
"49";1;13;21;23;18;22;23;1;1;1;1;1
"50";1;13;21;16;27;NA;23;1;NA;1;1;1,33333333333333
"51";0;13;21;23;27;28;30;1;1,66666666666667;1;1;1
"52";1;12;21;17;22;24;22;1;1,16666666666667;1;1;1
"53";1;12;21;17;16;20;18;1;1;1,33333333333333;1,16666666666667;1,5
"54";0;13;21;23;23;25;29;0,998645223387711;1;1,16666666666667;2;1
"55";0;12;21;17;23;24;26;2,16666666666667;1,66666666666667;2,16666666666667;1,5;2
"56";1;12;21;10;22;18;14;2;1,66666666666667;2;1,83333333333333;1,5
"57";0;12;21,2470947140391;21;25;34;26;1,16666666666667;1;1;1;1
"58";1;12;21,9032358428513;NA;24;25;25;1,5;NA;2,16666666666667;1;1,33333333333333
"59";0;12;22;25;24;21;27;3,5;1,83333333333333;2,16666666666667;1,33333333333333;1
"60";1;12;22;20;22;20;23;1;1,33333333333333;1,16666666666667;1,16666666666667;1
"61";0;12;22;15;22;21;23;1;1;1,16666666666667;1,33333333333333;1
"62";1;13;22;16;21;21;26;1;1;1,33333333333333;1,5;2,5
"63";1;12;22;26;16;25;31;1,16666666666667;1;1;1,33333333333333;1
"64";0;12;22;19;21;21;18;1;1,5;1;1;2
"65";1;12;22;23;30;32;26;1,33333333333333;1,16666666666667;1;1;1
"66";1;12;22;26;27;22;26;1,16666666666667;1,03984389497572;1;1;1
"67";1;12;22;16;18;17;19;1,16666666666667;1;1;1;1
"68";0;12;22;20;18;21;24;1,33333333333333;1,16666666666667;1,83333333333333;1;1
"69";1;13;22;NA;24;20;23;1,16666666666667;1,33333333333333;1,16666666666667;1,33333333333333;1
"70";1;12;22;20;18;21;17;1;1,5;1,33333333333333;1,66666666666667;1
"71";0;13;22;28;28;21;24;1;1;1;1;1,33333333333333
"72";0;12;22,1548958997953;21;20;28;29;1,66666666666667;1,33333333333333;1,16666666666667;1,83333333333333;1,83333333333333
"73";0;13;22,2584743051661;34;36;36;32;1;1;1;NA;1,16666666666667
"74";1;12;23;30;22;27;25;1;1;1;1,16666666666667;1
"75";1;12;23;24;25;27;22;1;3,5;3,16666666666667;2,83333333333333;2
"76";0;12;23;28;27;23;26;1,83333333333333;2;1;1,66666666666667;1,16666666666667
"77";0;12;23;NA;25;25;24;1,16666666666667;NA;2,66666666666667;1,33333333333333;1
"78";0;13;23;24,6468977135948;26;21;30;NA;1,83333333333333;1,99601543223975;2;1,16666666666667
"79";0;13;23;29;25;23;30;1;1;1,66666666666667;1,83333333333333;1,33333333333333
"80";1;13;23;21;24;24;23;1,33333333333333;1,16666666666667;1;2;1,66666666666667
"81";1;12;23;24;17;21;23;1;1,83333333333333;1,16666666666667;1;1
"82";1;12;23;20;25;23;20;1;1;1;1;1
"83";1;12;23;30;25;32;28;1;1,16666666666667;1,16666666666667;1;1
"84";1;11;23;29;24;24;28;1;1;1;1;1
"85";1;12;23;24;23;36;25;1;1,5;1,66666666666667;1,16666666666667;1,16666666666667
"86";0;12;23;26;22;23;29;1;1;1,66666666666667;1,16666666666667;1
"87";1;12;23;24;22;21;24;1,66666666666667;1,5;1;1;1
"88";0;12;23;24;29;23;23;1;1;1;1;1
"89";0;13;23,0653879744603;28;20;19;24;1;1;1,16666666666667;1;1
"90";0;12;23,9372936137043;28;28;25;25;1;1;1,83333333333333;1,16666666666667;1,16666666666667
"91";1;12;24;32;23;21;20;1;1;2;1;1
"92";1;12;24;25;28;27;33;2;1,16666666666667;1,16666666666667;1;1,16666666666667
"93";1;13;24;28;23;28;27;1;1;1,33333333333333;1,16666666666667;1
"94";1;12;24;30;21;23;23;1;1;1;1;1
"95";1;13;24;24;31;21;29;1,33333333333333;1,66666666666667;1,16666666666667;1,16666666666667;1
"96";1;12;24;18;16;16;17;1;1,16666666666667;1,66666666666667;1,16666666666667;1
"97";1;12;24;27;26;28;32;1;1,16666666666667;1;1;1
"98";1;12;24;NA;32;23;30;1;NA;1;1,16666666666667;1
"99";0;13;24;27;26;30;26,0215463189147;1,5;1,66666666666667;1,66666666666667;2;1
"100";0;12;24;23;26;30;25;NA;1,16666666666667;1;1;1
"101";1;12;24;32;31;28;25;1;1;1,16666666666667;1;1
"102";1;12;24;NA;26;26;NA;1,16666666666667;NA;1;1;NA
"103";1;12;24;25;23;26;21;1;1,16666666666667;1;1;1,83333333333333
"104";0;13;24;28;29;24;24;1,33333333333333;1,66666666666667;1,83333333333333;1;1
"105";0;13;24;24;31;28;28;1,0153347874988;1;1;1,16666666666667;1,5
"106";0;13;24;33;35;26;30;1,16666666666667;2;1;1;1
"107";1;12;24;21;22;20;18;1;NA;1;1;1
"108";0;12;24;28;27;25;29;1,16666666666667;NA;NA;NA;1,16666666666667
"109";1;13;24;24;26;22;21;1,5;2;1,16666666666667;1;1
"110";0;12;24;23;18;20;23;1;1,16666666666667;1,66666666666667;1;1
"111";1;12;24;30;36;28;25;1;1,16666666666667;1;1;1
"112";1;12;24;19;22;21;19;1;1;1;1;1
"113";1;12;24;23;28;30;30;1;1;1;1;1
"114";1;12;24;19;17;20;21;1,83333333333333;1,66666666666667;2,16666666666667;1;1
"115";0;13;24;17;19;19;19;2,34176746036036;2;1,66666666666667;2;2
"116";1;12;24;25;33;29;15;1;1;2,16666666666667;1;1
"117";0;12;24;26;25;26;26;1,5;1;1,16666666666667;1;1
"118";1;12;24;NA;36;24;22;1;NA;1;1;1
"119";1;12;24,0468573095436;24;25;27;24;1;1;1;1,66666666666667;1
"120";1;13;24,4029111577259;20;16;17;19;1;1;1,83333333333333;1;1
"121";1;12;24,6559060963933;23;24;23;24;1,66666666666667;1;2;1,83333333333333;1,66666666666667
"122";1;12;24,9333989849223;20;36;20;18;1;1,5;1;1,16666666666667;1,33333333333333
"123";0;13;25;25;21;25;20;1,33333333333333;1;1;2,16666666666667;1
"124";1;12;25;26;35;34;27;1;1;1;1,16666666666667;1
"125";1;12;25;22;29;29;26;1;3;1,16666666666667;1,83333333333333;1,16666666666667
"126";0;12;25;30;28;26;30;1;1;1,16666666666667;2;1,5
"127";0;12;25;32;27;23;25;1,16666666666667;1;1;1;1
"128";1;12;25;22;20;27;35;2,33333333333333;1,66666666666667;1;1;1
"129";0;12;25;28;23;25;25;1,66666666666667;2,16666666666667;2;2,16666666666667;2,16666666666667
"130";1;12;25;23;20;20;NA;1,16666666666667;1;1;1,16666666666667;NA
"131";0;13;25;27;23;27;30;1;1,5;1,33333333333333;1,5;1,83333333333333
"132";0;12;25;25;23;25;28;1,33333333333333;1,16666666666667;2,83333333333333;1;1
"133";1;12;25;19;26;22;26;1;1,83333333333333;1;1;1
"134";0;13;25;22;28;31;33;1;1;1;1;1
"135";1;12;25;21;18;22;20;1,02749762681302;1;1,33333333333333;1;1,5
"136";0;13;25;25;22;26;27;1,16666666666667;1;1;1;1
"137";0;12;25;29;31;28;29;1;1,33333333333333;1;1;1
"138";1;12;25;26;23;25;24;1,16666666666667;1,16666666666667;1,83333333333333;1,5;1,83333333333333
"139";1;13;25;21;22;24;24;1;1;1;1;1,5
"140";1;12;25;26;19;25;28;1;1,16666666666667;1;1;1,33333333333333
"141";0;13;25;31;27;29;32;1,16666666666667;1;1;1;1
"142";0;13;25;22;22;29;25;1;1,5;1;1;1
"143";1;13;25;31;29;28;28;1;1;1;1;1
"144";0;13;25;27;25;25;27;1,33333333333333;1;1;1;0,994991603981349
"145";0;14;25,0840589439653;27;26;24;23;2;1,66666666666667;2;1,33333333333333;2,5
"146";0;12;25,0840589439653;36;27;28;29;1,66666666666667;2,16666666666667;1,66666666666667;1,33333333333333;1,66666666666667
"147";1;13;25,0840589439653;22;25;24;26;1,5;1,16666666666667;2;1;1
"148";1;13;25,0840589439653;22;22;20;21;1;1;1,16666666666667;1,33333333333333;1,66666666666667
"149";0;13;25,0840589439653;32;27;24;30;1,16666666666667;1,16666666666667;1;1;1
"150";0;13;25,0840589439653;25;22;24;27;1,83333333333333;2;2;1,5;2,16666666666667
"151";1;13;25,0840589439653;29;30;31;33;1,16666666666667;1,5;1;1;1,33333333333333
"152";0;12;25,0840589439653;NA;26;NA;26;1;NA;1;NA;1,66666666666667
"153";0;12;25,0840589439653;22;28;32;30;1,33333333333333;1,5;1,5;1;1
"154";1;12;25,0840589439653;25;16,4246398789011;24;23;1;2,83333333333333;1;1,33333333333333;1,33333333333333
"155";0;12;25,0840589439653;27;32;26;26;1,83333333333333;2;1,33333333333333;1,66666666666667;1,66666666666667
"156";0;12;25,0840589439653;22;32;30;26;1,16666666666667;1,5;1;1;1
"157";0;12;25,0840589439653;27;24;23;24;1;1;1;1;1
"158";1;12;25,0840589439653;21;18;21;20;1,33333333333333;1,83333333333333;1,66666666666667;1,16666666666667;2,33333333333333
"159";0;13;25,0840589439653;27;25;24;22;1;1,5;1,5;2,16666666666667;1
"160";1;12;25,0840589439653;14;17;23;18;1,33333333333333;1,83333333333333;2,16666666666667;1;1
"161";0;12;25,0840589439653;25;24;24;20;1,5;1,66666666666667;1;1,5;1,33333333333333
"162";0;12;25,0840589439653;30;25;21;30;1;1,16666666666667;1;1;1
"163";0;12;25,0840589439653;23;24;24;22;1;1;1;2;1
"164";0;13;25,0840589439653;23;18;20;23;1,16666666666667;1;1;2;1
"165";0;12;25,0840589439653;31;30;27;27;1;1;1;1;1,16666666666667
"166";1;12;25,0840589439653;19;22;17;16;1;1,16666666666667;1,33333333333333;1;1,16666666666667
"167";1;13;25,0840589439653;28;23;17;24;1,16666666666667;1,16666666666667;1,83333333333333;1;1,16666666666667
"168";0;13;25,0840589439653;28;25;29;29;1;1,16666666666667;1;1;1
"169";0;13;25,0840589439653;18;27;20;17;1,33333333333333;1;1,83333333333333;1,66666666666667;1,16666666666667
"170";0;13;25,0840589439653;21;30;19;18;1;2,16666666666667;1,16666666666667;3,33333333333333;1,33333333333333
"171";0;12;25,0840589439653;29;21;24;29;1;1,16666666666667;1,5;1,16666666666667;1
"172";1;12;25,0840589439653;23;23;26;25;1,16666666666667;1,5;2;1,16666666666667;1,16666666666667
"173";1;12;25,0840589439653;NA;28;31;32;1,33333333333333;NA;1;1;1
"174";0;14;25,0840589439653;30;32;30;36;1,83333333333333;1,33333333333333;1,16666666666667;1;1
"175";0;12;25,0840589439653;27;28;22;23;2;1,83333333333333;1,83333333333333;2;1,83333333333333
"176";0;12;25,0840589439653;24;27;32;31;1;1,16666666666667;1;1;1,33333333333333
"177";0;13;25,0840589439653;20;25;26;21,8140088095732;1,20316639056737;3;NA;1;1,33333333333333
"178";1;11;25,0840589439653;26;21;25;23;2,33333333333333;1,66666666666667;1;1;1
"179";0;12;25,0840589439653;30;24;27;33;1;1;1;1;1
"180";1;12;25,0840589439653;30;22;27;26;1,33333333333333;1;1;1,33333333333333;1
"181";0;13;25,0840589439653;21;24;22;26;1,33333333333333;NA;1;1;1
"182";1;12;25,0840589439653;22;20;19;20;1;1;1;1;1
"183";1;13;25,0840589439653;19;17;20;21;1;1,5;1,66666666666667;1;1
"184";0;12;25,0840589439653;32;23;19;17;1;1;1;1,16666666666667;1
"185";1;12;25,0840589439653;25;23;25;25;1;1,33333333333333;1;1;1
"186";1;12;25,0840589439653;21;30;30;31;1;1;1,5;1;1
"187";1;12;25,0840589439653;19;29;20;20;1;1;1;1;1
"188";1;13;25,0840589439653;22;23;21;23;1,66666666666667;1,16666666666667;1,16666666666667;1;1,5
"189";0;12;25,0840589439653;17;13;18;20;1;1,33333333333333;1;1,16666666666667;1,33333333333333
"190";0;12;25,0840589439653;28;29;30;27;1,33333333333333;1,16666666666667;1,33333333333333;1;1,16666666666667
"191";0;12;25,0840589439653;27;30;26;30;1;1;1,33333333333333;1,5;2
"192";1;12;25,0840589439653;24;24;32;31;1,16666666666667;1,5;1,5;1;1
"193";0;12;25,0840589439653;31;32;31;19;NA;1,5;1,16666666666667;1;1
"194";0;12;25,0840589439653;27;17;22;19;1,33333333333333;1,16666666666667;1,33333333333333;1,16666666666667;1,16666666666667
"195";0;13;25,0840589439653;29;26;26;21;1,16666666666667;2;1,5;2,33333333333333;1
"196";0;13;25,0840589439653;17;19;23;22;2,66666666666667;1,33333333333333;1,33333333333333;1,83333333333333;1,83333333333333
"197";1;13;25,0840589439653;22;16;24;23;2,33333333333333;2,16666666666667;1,66666666666667;1;1
"198";1;13;25,0840589439653;19;25;29;20;1,83333333333333;NA;1,33333333333333;1,66666666666667;1,16666666666667
"199";0;12;25,0840589439653;NA;17;22;29;1;NA;1,16666666666667;1,33333333333333;1,33333333333333
"200";1;12;25,7108668541501;25;23;24;24;1,16666666666667;1;1,16666666666667;1;1
"201";0;12;25,9206342337278;26;16;15;22;1,16666666666667;1;1;1;1
"202";0;12;26;22;33;30;34;1;1,33333333333333;1,16666666666667;1,33333333333333;1
"203";1;12;26;22;25;25;18;1,66666666666667;1;1;1;NA
"204";1;12;26;22;19;26;25;1,5;1,16666666666667;1,83333333333333;1,16666666666667;1,16666666666667
"205";1;12;26;23;23;18;22;1;1,16666666666667;1;1;1
"206";1;12;26;28;32;32;29;1;1;1;1;1,16666666666667
"207";1;12;26;20,5902174799165;24;23;24;1;1;1;1;1
"208";1;13;26;16;15;15;16;1;1,66666666666667;1,16666666666667;1,33333333333333;1
"209";0;12;26;27;27;31;30;2,16666666666667;2,16666666666667;1,66666666666667;1,5;1
"210";0;12;26;25;23;22;25;1,16666666666667;1;1,16666666666667;1,16666666666667;1
"211";0;12;26;33;28;33;36;1;1,16666666666667;1;1,16666666666667;1,33333333333333
"212";0;12;26;28;25;26;26;1;2;1,83333333333333;1;1
"213";0;13;26;24;30;26;24;1,33333333333333;1,16666666666667;1,33333333333333;1,83333333333333;1,33333333333333
"214";0;12;26;30;26;27;19;1;1;1;1;1,16666666666667
"215";1;13;26;28;25;29;28;1;1;1,16666666666667;1;1
"216";0;12;26;28;23;31;26;1,66666666666667;2;1;1;1,33333333333333
"217";1;12;26,1723853349729;32;32;30;31;1;1,16666666666667;1,33333333333333;1;1
"218";1;13;26,415104933762;26;29;25;32;1;1,16666666666667;1,16666666666667;1,33333333333333;1
"219";1;12;27;22;21;21;21;1;1,83333333333333;1,83333333333333;1;1
"220";1;12;27;22;21;16;20;NA;2,5;1,83333333333333;2,83333333333333;1,33333333333333
"221";1;12;27;26;27;29;30;1;1;1,16666666666667;1;1
"222";1;12;27;29;23;20;21;2;1;1;1;1
"223";1;12;27;29;29;26;25;2;1,66666666666667;1,16666666666667;1,16666666666667;1,16666666666667
"224";1;13;27;24;24;23;21;1,16666666666667;2;2,66666666666667;1,66666666666667;2,33333333333333
"225";1;14;27;18;17;22;18;1;NA;1;1;1
"226";0;12;27;24;30;29;27;1;1;1,5;1;1
"227";0;12;27;27;27;28;30;1,33333333333333;2;1,66666666666667;1,5;1
"228";0;12;27;28;26;23;32;1,83333333333333;2;1,33333333333333;1;1,16666666666667
"229";1;12;27;21;22;21;19;1,33333333333333;1,83333333333333;1,5;1;1,66666666666667
"230";0;12;27;26;28;29;26;1;1,33333333333333;1,33333333333333;NA;2,66666666666667
"231";0;13;27;24;25;24;33;1;1;1;1;1
"232";1;12;27;31;25;34;31;1;1;1;1;1
"233";0;12;27;31;27;30;34;1;1;1;1;1
"234";1;12;27;26;26;25;24;1;1,33333333333333;1,83333333333333;2;1,16666666666667
"235";0;12;27;27;34;29;28;1;1;1;1,16666666666667;1
"236";0;12;27;18;24;23;24;1,84648983694851;2;1,66666666666667;1,83333333333333;1
"237";1;13;27;21;22;22;24;1,33333333333333;3,16666666666667;1,33333333333333;1;1
"238";1;12;27;27;30;33;30;1;1;1;1;1
"239";1;13;27;23;27;25;21;1;1;1;1,16666666666667;1,83333333333333
"240";1;12;27;23;24;26;20;1,83333333333333;2;1;1;1,16666666666667
"241";0;12;27;28;26;21;27;1;1;1,33333333333333;1;1
"242";0;12;27,0393147961819;NA;21;16;17,2489085944247;1,16666666666667;NA;1;2,16666666666667;1
"243";1;13;28;30;30;26;28;1;1,16666666666667;1,16666666666667;1;1
"244";1;12;28;32;29;27;30;NA;1,66666666666667;1,33333333333333;1;1,16666666666667
"245";1;13;28;25;23;26;27;NA;1,5;1;1,16666666666667;1
"246";0;12;28;31;32;30;33;1,33333333333333;1;1;1;1
"247";0;12;28;24;22;18;22;NA;1;1;1,16666666666667;1
"248";0;13;28;35;34;34;31;1;1;1;1;1,16666666666667
"249";1;13;28;22;23;27;25;1,19208213864446;1;1;1;1,16666666666667
"250";0;12;28;25;22;22;25;1,16666666666667;1,66666666666667;1,83333333333333;2;1,83333333333333
"251";1;13;28;27;24;26;25;1;1;1;1;1
"252";1;12;28;26;27;30;28;1;1;1;1,5;1
"253";1;12;28;28;26;30;30;1;1;1;1;1
"254";1;12;28;18;17;18;22;1;1;1,33333333333333;1,16666666666667;1
"255";0;12;28;31;29;21;31;1,5;1;1;1;1
"256";0;12;28;29;24;26;29;1;1;1;1,16666666666667;1,83333333333333
"257";1;12;28;24;26;23;23;1,83333333333333;1,33333333333333;1;1,66666666666667;1,16666666666667
"258";1;12;28;24;22;27;23;1,16666666666667;1,16666666666667;1,33333333333333;1,33333333333333;1,33333333333333
"259";1;11;28;17;28;32;26;1;1;1;1,16666666666667;1
"260";1;12;28;27;24;26;26;1,16666666666667;1;NA;1;1
"261";1;12;28;23;22;22;18;NA;1;1;1;1,33333333333333
"262";0;12;28;27;31;29;28;1;1;1;1;1
"263";1;12;28;28;32;32;29;1,16666666666667;2;1;1;1,5
"264";1;12;28;30;27;29;30;1;1;1;2;2,33333333333333
"265";1;12;28,7412299206699;24;20;25;25;1,5;1;2;1,66666666666667;1
"266";0;12;28,8441767623492;31;32;30;31;1,33333333333333;1,33333333333333;1;1;1
"267";0;11;28,8694396440527;26;25;29;25;1;1;1,83333333333333;1;1
"268";0;13;29;22;25;27;28;1;2;1,16666666666667;1,16666666666667;1,33333333333333
"269";0;11;29;22;29;27;28;1,5;1,33333333333333;1,16666666666667;1;1,5
"270";1;12;29;28;28;22;25;1,16666666666667;1;1;1,16666666666667;1,16666666666667
"271";1;12;29;NA;31;26;28;1;NA;1;1;1
"272";0;13;29;24;36;26;36;1,5;1;1;1;1
"273";0;13;29;29;28;27;21;1,33333333333333;1;1;1,16666666666667;1,16666666666667
"274";0;13;29;22;24;23;25;2,33333333333333;1;1;1,16666666666667;1,5
"275";0;13;29;31;36;32;27,7647544127005;1,16666666666667;1;1,5;1,16666666666667;1,83333333333333
"276";1;12;29;24;25;25;27;1;1;1;1,16666666666667;1
"277";0;12;29;29;32;32;32;1;1;1;1;1
"278";1;11;29;24;20;30;29;1;1;1,5;1,83333333333333;1,5
"279";1;12;29;28;31;31;30;2;1,83333333333333;1;1;1
"280";0;13;30;30;33;31;29;1,5;1,66666666666667;1,33333333333333;1;1
"281";0;12;30;32;28;25;20;1;1,33333333333333;1;1,33333333333333;2
"282";0;12;30;28;25;21;32;1;1;1,5;1,5;1
"283";0;13;30;26;28;34;33;1,16666666666667;1,66666666666667;1,16666666666667;1;1
"284";0;13;30;27;32;24;27;1;1;1,16666666666667;1;1
"285";1;12;30;NA;23;25;22;1,5;NA;1;1,16666666666667;1
"286";0;12;30;34;26;23;25;1,83333333333333;1;1;2;2,33333333333333
"287";0;13;30;23;24;25;19;2;2;2,5;2,16666666666667;1,66666666666667
"288";0;13;30;31;29;32;35;1;1;1,16666666666667;1,33333333333333;1
"289";0;13;30;19;19;23;28;1,5;1,16666666666667;1;1,16666666666667;1
"290";0;12;30,3132105447906;26;31;32;32;1;NA;1;1;1
"291";1;12;31;23;14;17;15;1;1;1,66666666666667;1;1
"292";1;12;31;29;26;28;31;1;1,33333333333333;2;1,5;1,16666666666667
"293";1;12;31;32;31;25;29;1,5;1,5;2,5;1,83333333333333;1
"294";0;12;31;30;29;27;30;1,16666666666667;1;1;1;1
"295";1;12;31;29;31;28;23;1;2;1;1,16666666666667;1
"296";1;12;31;28;27;25;21;1;1;1;1;1
"297";0;12;31;23;33;28;28;1;1,33333333333333;1;1,16666666666667;1
"298";0;13;31;28;26;23;27;1,16666666666667;2;1;1;1
"299";0;12;31;29;30;31;31;1;1;1,16666666666667;1;1
"300";0;13;31;31;32;29;27;1;1,16666666666667;1;1,33333333333333;1,33333333333333
"301";1;12;31,0428793987612;28;37;20;23;1;1;1;1;1
"302";0;13;32;30;32;35;28;1;1;1;1;1
"303";1;12;32;27;26;31;27;1;1;1;1;1
"304";1;12;32;22;18;23;22;1,83333333333333;1,66666666666667;1,66666666666667;1,83333333333333;1,5
"305";1;12;32;23;23;19;33;1;1;1,33333333333333;1;1,16666666666667
"306";1;12;32,9078633388958;26;26;28;27;1,33333333333333;2,16666666666667;1,33333333333333;1,16666666666667;1
"307";1;12;33;25;27;28;23;1;2,16666666666667;2;2,5;2,66666666666667
"308";0;12;33;30;27;28;27;1,5;2,33333333333333;2;2;2
"309";0;13;33;31;31;31;27;1,16666666666667;1;1;1;1
"310";1;12;33;28;32;26;26;1;1;0,959597862369206;1;1
"311";1;12;33;32;29;29;31;1;1,5;1,33333333333333;1;1
"312";0;12;33;22;26;30;23;1;2;1;1,33333333333333;1
"313";0;12;33;36;35;35;35;2;1;1,5;1,16666666666667;1,16666666666667
"314";1;12;33,0367220369534;27;24;21;25;1,16666666666667;1,57451969450739;2,5;1,5;1,66666666666667
"315";0;12;33,1235392567589;23;33;28;35;1;1;1;1;1,16666666666667
"316";1;13;34;23;23;23;21;1;1,5;1;1;1
"317";0;12;34;31;36;32;33;2;2;1;1;1,16666666666667
"318";1;12;34;35;34;32;35;1;1;1;1,16666666666667;1
"319";0;13;34;29;30;25;30;1,16666666666667;1,5;1;2,66666666666667;1
"320";0;13;34,8102750026662;32;31;28;34;1;1;2,66666666666667;1;1
"321";1;13;35;27;23;28;33;1;1;NA;1;1
"322";1;12;35;22,2184803631548;25;25;24;1;1;1;1;1
"323";0;13;36;28;29;29;31;1,83333333333333;1,33333333333333;1,5;1;1
"324";1;12;36;33;22;31;17;1;1;1;1;1
"325";0;13;36;34;27;16;25;1,66666666666667;1,16666666666667;2;2,66666666666667;1,66666666666667
"326";1;13;36;35;31;28;34;1,66666666666667;1,33333333333333;1;1,16666666666667;2
"327";0;12;36;21;26;23;32;1,66666666666667;1,16666666666667;1,16666666666667;1;1
